Year,Cumulative ice mass change (Gt),Cumulative ice mass change uncertainty (Gt),Cumulative sea level contribution (mm),Cumulative sea level contribution uncertainty (mm)
1992.00,1.63,6.33,0.00,0.02
1992.08,6.32,43.88,-0.02,0.12
1992.17,11.00,46.54,-0.03,0.13
1992.25,2.98,51.36,-0.01,0.14
1992.33,2.26,56.46,-0.01,0.16
1992.42,0.71,61.22,0.00,0.17
1992.50,-0.58,65.68,0.00,0.18
1992.58,-1.00,69.87,0.00,0.19
1992.67,-0.49,73.83,0.00,0.21
1992.75,-0.81,77.60,0.00,0.22
1992.83,-1.88,81.47,0.01,0.23
1992.92,-1.32,85.58,0.00,0.24
1993.00,0.94,89.72,0.00,0.25
1993.08,4.95,93.71,-0.01,0.26
1993.17,6.98,97.36,-0.02,0.27
1993.25,8.62,100.77,-0.02,0.28
1993.33,10.03,103.94,-0.03,0.29
1993.42,9.16,107.07,-0.03,0.30
1993.50,7.51,110.29,-0.02,0.31
1993.58,4.83,113.54,-0.01,0.32
1993.67,1.05,116.56,0.00,0.32
1993.75,-4.70,119.24,0.01,0.33
1993.83,-9.75,121.73,0.03,0.34
1993.92,-13.60,124.16,0.04,0.34
1994.00,-16.77,126.60,0.05,0.35
1994.08,-20.68,129.01,0.06,0.36
1994.17,-22.31,131.41,0.06,0.37
1994.25,-23.89,133.71,0.07,0.37
1994.33,-25.11,135.85,0.07,0.38
1994.42,-26.08,137.85,0.07,0.38
1994.50,-28.94,140.02,0.08,0.39
1994.58,-32.87,142.32,0.09,0.40
1994.67,-37.09,144.58,0.10,0.40
1994.75,-41.40,146.77,0.12,0.41
1994.83,-45.97,148.90,0.13,0.41
1994.92,-50.08,151.01,0.14,0.42
1995.00,-52.86,153.13,0.15,0.43
1995.08,-54.03,155.28,0.15,0.43
1995.17,-51.63,157.59,0.14,0.44
1995.25,-50.24,159.89,0.14,0.44
1995.33,-46.61,162.00,0.13,0.45
1995.42,-40.80,163.85,0.11,0.46
1995.50,-35.55,165.86,0.10,0.46
1995.58,-30.95,168.09,0.09,0.47
1995.67,-24.61,170.31,0.07,0.47
1995.75,-18.80,172.44,0.05,0.48
1995.83,-15.06,174.47,0.04,0.48
1995.92,-9.99,176.42,0.03,0.49
1996.00,-5.10,178.34,0.01,0.50
1996.08,-1.34,180.24,0.00,0.50
1996.17,2.74,182.23,-0.01,0.51
1996.25,7.30,184.20,-0.02,0.51
1996.33,14.25,185.98,-0.04,0.52
1996.42,22.62,187.53,-0.06,0.52
1996.50,30.72,189.23,-0.09,0.53
1996.58,38.85,191.05,-0.11,0.53
1996.67,45.25,192.97,-0.13,0.54
1996.75,47.66,194.82,-0.13,0.54
1996.83,48.26,196.58,-0.13,0.55
1996.92,48.46,198.29,-0.13,0.55
1997.00,47.24,199.98,-0.13,0.56
1997.08,45.36,201.74,-0.13,0.56
1997.17,44.44,203.53,-0.12,0.57
1997.25,44.53,205.26,-0.12,0.57
1997.33,46.34,206.88,-0.13,0.57
1997.42,48.79,208.29,-0.14,0.58
1997.50,49.57,209.92,-0.14,0.58
1997.58,48.00,211.69,-0.13,0.59
1997.67,44.11,213.45,-0.12,0.59
1997.75,38.90,215.13,-0.11,0.60
1997.83,34.19,216.71,-0.09,0.60
1997.92,29.08,218.26,-0.08,0.61
1998.00,24.67,219.78,-0.07,0.61
1998.08,23.73,221.38,-0.07,0.61
1998.17,24.16,223.00,-0.07,0.62
1998.25,24.87,224.60,-0.07,0.62
1998.33,28.35,226.07,-0.08,0.63
1998.42,34.25,227.29,-0.10,0.63
1998.50,39.21,228.58,-0.11,0.63
1998.58,43.75,230.01,-0.12,0.64
1998.67,47.65,231.46,-0.13,0.64
1998.75,49.51,232.87,-0.14,0.65
1998.83,51.22,234.23,-0.14,0.65
1998.92,50.27,235.55,-0.14,0.65
1999.00,48.80,236.80,-0.14,0.66
1999.08,48.42,238.14,-0.13,0.66
1999.17,45.54,239.51,-0.13,0.67
1999.25,44.98,240.88,-0.12,0.67
1999.33,46.40,242.21,-0.13,0.67
1999.42,48.59,243.42,-0.13,0.68
1999.50,49.27,244.63,-0.14,0.68
1999.58,49.22,245.95,-0.14,0.68
1999.67,47.94,247.31,-0.13,0.69
1999.75,44.54,248.66,-0.12,0.69
1999.83,41.97,250.00,-0.12,0.69
1999.92,37.27,251.31,-0.10,0.70
2000.00,32.39,252.53,-0.09,0.70
2000.08,29.79,253.80,-0.08,0.71
2000.17,27.21,255.10,-0.08,0.71
2000.25,25.74,256.40,-0.07,0.71
2000.33,25.07,257.67,-0.07,0.72
2000.42,25.30,258.81,-0.07,0.72
2000.50,24.92,259.95,-0.07,0.72
2000.58,23.94,261.20,-0.07,0.73
2000.67,23.09,262.47,-0.06,0.73
2000.75,22.54,263.72,-0.06,0.73
2000.83,23.24,264.93,-0.06,0.74
2000.92,22.34,266.11,-0.06,0.74
2001.00,23.43,267.28,-0.07,0.74
2001.08,24.99,268.45,-0.07,0.75
2001.17,24.94,269.62,-0.07,0.75
2001.25,25.40,270.80,-0.07,0.75
2001.33,28.19,271.94,-0.08,0.76
2001.42,34.92,272.95,-0.10,0.76
2001.50,42.76,273.94,-0.12,0.76
2001.58,49.81,274.94,-0.14,0.76
2001.67,57.74,275.91,-0.16,0.77
2001.75,65.67,276.87,-0.18,0.77
2001.83,73.36,277.82,-0.20,0.77
2001.92,80.44,278.82,-0.22,0.77
2002.00,87.80,279.67,-0.24,0.78
2002.08,95.11,280.53,-0.26,0.78
2002.17,102.70,281.39,-0.29,0.78
2002.25,111.39,282.20,-0.31,0.78
2002.33,120.04,282.95,-0.33,0.79
