Year,Cumulative ice mass change (Gt),Cumulative ice mass change uncertainty (Gt),Cumulative sea level contribution (mm),Cumulative sea level contribution uncertainty (mm)
1992.00,-1.80,1.42,0.01,0.00
1992.08,-3.32,9.81,0.01,0.03
1992.17,-4.40,10.41,0.01,0.03
1992.25,-5.43,11.48,0.02,0.03
1992.33,-6.02,12.64,0.02,0.04
1992.42,-6.63,13.72,0.02,0.04
1992.50,-7.05,14.73,0.02,0.04
1992.58,-7.59,15.67,0.02,0.04
1992.67,-7.84,16.57,0.02,0.05
1992.75,-7.99,17.42,0.02,0.05
1992.83,-8.22,18.23,0.02,0.05
1992.92,-8.21,19.01,0.02,0.05
1993.00,-7.89,19.76,0.02,0.05
1993.08,-7.31,20.48,0.02,0.06
1993.17,-6.70,21.17,0.02,0.06
1993.25,-6.27,21.85,0.02,0.06
1993.33,-5.60,22.50,0.02,0.06
1993.42,-5.52,23.14,0.02,0.06
1993.50,-5.65,23.76,0.02,0.07
1993.58,-5.83,24.36,0.02,0.07
1993.67,-5.95,24.95,0.02,0.07
1993.75,-6.32,25.53,0.02,0.07
1993.83,-6.76,26.09,0.02,0.07
1993.92,-7.42,26.64,0.02,0.07
1994.00,-8.34,27.18,0.02,0.08
1994.08,-9.30,27.71,0.03,0.08
1994.17,-10.50,28.23,0.03,0.08
1994.25,-12.00,28.74,0.03,0.08
1994.33,-13.55,29.24,0.04,0.08
1994.42,-15.11,29.74,0.04,0.08
1994.50,-16.30,30.22,0.05,0.08
1994.58,-17.51,30.70,0.05,0.09
1994.67,-18.59,31.17,0.05,0.09
1994.75,-19.44,31.63,0.05,0.09
1994.83,-20.35,32.09,0.06,0.09
1994.92,-21.39,32.54,0.06,0.09
1995.00,-22.37,32.98,0.06,0.09
1995.08,-23.33,33.42,0.06,0.09
1995.17,-24.28,33.85,0.07,0.09
1995.25,-24.93,34.28,0.07,0.10
1995.33,-25.22,34.70,0.07,0.10
1995.42,-25.63,35.11,0.07,0.10
