Year,Cumulative ice mass change (Gt),Cumulative ice mass change uncertainty (Gt),Cumulative sea level contribution (mm),Cumulative sea level contribution uncertainty (mm)
1992.00,4.58,3.17,-0.01,0.01
1992.08,8.48,21.94,-0.02,0.06
1992.17,13.05,23.27,-0.04,0.06
1992.25,13.05,26.68,-0.04,0.07
1992.33,13.22,29.60,-0.04,0.08
1992.42,13.48,32.28,-0.04,0.09
1992.50,14.96,34.77,-0.04,0.10
1992.58,17.64,37.10,-0.05,0.10
1992.67,19.79,39.30,-0.05,0.11
1992.75,21.86,41.38,-0.06,0.11
1992.83,22.24,43.28,-0.06,0.12
1992.92,22.96,45.05,-0.06,0.13
1993.00,23.33,46.77,-0.06,0.13
1993.08,22.89,48.43,-0.06,0.13
1993.17,23.45,49.98,-0.07,0.14
1993.25,24.04,51.47,-0.07,0.14
1993.33,22.30,52.92,-0.06,0.15
1993.42,18.64,54.36,-0.05,0.15
1993.50,14.24,55.76,-0.04,0.15
1993.58,8.55,57.15,-0.02,0.16
1993.67,3.13,58.48,-0.01,0.16
1993.75,-2.13,59.74,0.01,0.17
1993.83,-6.78,60.92,0.02,0.17
1993.92,-11.30,62.06,0.03,0.17
1994.00,-16.90,63.18,0.05,0.18
1994.08,-24.01,64.29,0.07,0.18
1994.17,-31.33,65.36,0.09,0.18
1994.25,-38.75,66.40,0.11,0.18
1994.33,-45.77,67.40,0.13,0.19
1994.42,-52.58,68.39,0.15,0.19
1994.50,-58.47,69.36,0.16,0.19
1994.58,-63.76,70.35,0.18,0.20
1994.67,-68.86,71.34,0.19,0.20
1994.75,-75.79,72.31,0.21,0.20
1994.83,-82.25,73.26,0.23,0.20
1994.92,-88.90,74.20,0.25,0.21
1995.00,-95.84,75.16,0.27,0.21
1995.08,-102.47,76.10,0.28,0.21
1995.17,-108.53,77.06,0.30,0.21
1995.25,-113.12,78.00,0.31,0.22
1995.33,-117.76,78.91,0.33,0.22
1995.42,-123.52,79.80,0.34,0.22
1995.50,-129.29,80.65,0.36,0.22
1995.58,-135.79,81.57,0.38,0.23
1995.67,-143.36,82.51,0.40,0.23
1995.75,-150.55,83.47,0.42,0.23
1995.83,-157.40,84.39,0.44,0.23
1995.92,-165.04,85.31,0.46,0.24
1996.00,-172.75,86.23,0.48,0.24
1996.08,-179.18,87.16,0.50,0.24
1996.17,-186.13,88.10,0.52,0.24
1996.25,-191.53,89.01,0.53,0.25
1996.33,-197.72,89.91,0.55,0.25
1996.42,-204.58,90.76,0.57,0.25
1996.50,-211.75,91.61,0.59,0.25
1996.58,-218.79,92.49,0.61,0.26
1996.67,-225.15,93.39,0.63,0.26
1996.75,-231.89,94.26,0.64,0.26
1996.83,-238.23,95.05,0.66,0.26
1996.92,-243.92,95.83,0.68,0.27
1997.00,-248.97,96.63,0.69,0.27
1997.08,-253.91,97.55,0.71,0.27
1997.17,-257.74,98.47,0.72,0.27
1997.25,-259.26,99.37,0.72,0.28
1997.33,-260.43,100.27,0.72,0.28
1997.42,-260.94,101.07,0.72,0.28
1997.50,-261.71,101.88,0.73,0.28
1997.58,-260.27,102.69,0.72,0.29
1997.67,-258.05,103.51,0.72,0.29
1997.75,-256.56,104.32,0.71,0.29
1997.83,-252.47,105.10,0.70,0.29
1997.92,-249.67,105.82,0.69,0.29
1998.00,-249.13,106.52,0.69,0.30
1998.08,-248.89,107.27,0.69,0.30
1998.17,-248.41,108.03,0.69,0.30
1998.25,-248.88,108.78,0.69,0.30
1998.33,-249.09,109.47,0.69,0.30
1998.42,-250.31,110.13,0.70,0.31
1998.50,-251.88,110.81,0.70,0.31
1998.58,-253.97,111.52,0.71,0.31
1998.67,-258.03,112.28,0.72,0.31
1998.75,-263.97,113.06,0.73,0.31
1998.83,-270.82,113.81,0.75,0.32
1998.92,-281.50,114.50,0.78,0.32
1999.00,-294.02,115.13,0.82,0.32
1999.08,-305.71,115.79,0.85,0.32
1999.17,-316.37,116.45,0.88,0.32
1999.25,-324.47,117.13,0.90,0.33
1999.33,-331.27,117.85,0.92,0.33
1999.42,-336.81,118.57,0.94,0.33
1999.50,-341.44,119.26,0.95,0.33
1999.58,-345.36,119.91,0.96,0.33
1999.67,-346.58,120.60,0.96,0.34
1999.75,-348.78,121.31,0.97,0.34
1999.83,-350.96,122.00,0.97,0.34
1999.92,-352.27,122.69,0.98,0.34
2000.00,-352.51,123.37,0.98,0.34
2000.08,-352.76,124.05,0.98,0.34
2000.17,-352.46,124.74,0.98,0.35
2000.25,-350.94,125.42,0.97,0.35
2000.33,-349.90,126.09,0.97,0.35
2000.42,-349.54,126.72,0.97,0.35
2000.50,-349.68,127.28,0.97,0.35
2000.58,-349.35,127.88,0.97,0.36
2000.67,-349.21,128.50,0.97,0.36
2000.75,-352.52,129.12,0.98,0.36
2000.83,-354.76,129.73,0.99,0.36
2000.92,-357.24,130.30,0.99,0.36
2001.00,-361.01,130.86,1.00,0.36
2001.08,-367.09,131.41,1.02,0.37
2001.17,-371.53,131.96,1.03,0.37
2001.25,-376.20,132.51,1.05,0.37
2001.33,-382.46,133.07,1.06,0.37
2001.42,-389.65,133.59,1.08,0.37
2001.50,-396.87,134.08,1.10,0.37
2001.58,-404.42,134.58,1.12,0.37
2001.67,-411.79,135.09,1.14,0.38
2001.75,-419.63,135.59,1.17,0.38
2001.83,-426.80,136.09,1.19,0.38
2001.92,-435.14,136.57,1.21,0.38
2002.00,-443.09,137.17,1.23,0.38
2002.08,-450.58,137.77,1.25,0.38
2002.17,-455.71,138.41,1.27,0.38
2002.25,-460.16,139.11,1.28,0.39
2002.33,-464.72,139.82,1.29,0.39
2002.42,-468.88,140.48,1.30,0.39
2002.50,-473.05,141.16,1.31,0.39
2002.58,-476.06,142.22,1.32,0.40
2002.67,-479.38,143.30,1.33,0.40
2002.75,-482.50,144.38,1.34,0.40
2002.83,-485.08,145.46,1.35,0.40
2002.92,-487.42,146.58,1.35,0.41
2003.00,-490.79,147.50,1.36,0.41
2003.08,-494.35,148.42,1.37,0.41
2003.17,-498.59,149.31,1.38,0.41
2003.25,-503.37,150.16,1.40,0.42
2003.33,-508.26,150.99,1.41,0.42
2003.42,-513.49,151.81,1.43,0.42
2003.50,-519.07,152.66,1.44,0.42
2003.58,-525.86,153.51,1.46,0.43
2003.67,-534.16,154.41,1.48,0.43
2003.75,-543.85,155.33,1.51,0.43
2003.83,-554.41,156.16,1.54,0.43
2003.92,-564.93,157.05,1.57,0.44
2004.00,-573.88,158.10,1.59,0.44
2004.08,-582.22,159.18,1.62,0.44
2004.17,-590.63,160.24,1.64,0.45
2004.25,-598.75,161.27,1.66,0.45
2004.33,-606.07,162.28,1.68,0.45
