Year,Rate of ice sheet mass change (mm sea level/yr),Rate of ice sheet mass change uncertainty (mm sea level/yr),Cumulative ice sheet mass change (mm sea level),Cumulative ice sheet mass change uncertainty (mm sea level),Rate of mass balance anomaly uncertainty (mm sea level/yr),Cumulative surface mass balance anomaly (mm sea level/yr),Cumulative surface mass balance anomaly (mm sea level),Cumulative surface mass balance anomaly uncertainty (mm sea level),Rate of ice dynamics anomaly (mm sea level/yr),Rate of ice dyanamics anomaly uncertainty (mm sea level/yr),Cumulative ice dynamics anomaly (mm sea level),Cumulative ice dynamics anomaly uncertainty (mm sea level)
1980.00,,,,,-0.04,0.22,0.00,0.06,,,,
1980.08,,,,,-0.04,0.22,-0.01,0.09,,,,
1980.17,,,,,-0.04,0.22,-0.01,0.11,,,,
1980.25,,,,,-0.04,0.22,-0.01,0.13,,,,
1980.33,,,,,-0.04,0.22,-0.01,0.14,,,,
1980.42,,,,,-0.04,0.22,-0.02,0.15,,,,
1980.50,,,,,-0.04,0.22,-0.02,0.17,,,,
1980.58,,,,,-0.04,0.22,-0.02,0.18,,,,
1980.67,,,,,-0.04,0.22,-0.03,0.19,,,,
1980.75,,,,,-0.04,0.22,-0.03,0.20,,,,
1980.83,,,,,-0.04,0.22,-0.03,0.21,,,,
1980.92,,,,,-0.04,0.22,-0.04,0.22,,,,
1981.00,,,,,0.27,0.20,-0.01,0.23,,,,
1981.08,,,,,0.27,0.20,0.01,0.23,,,,
1981.17,,,,,0.27,0.20,0.03,0.24,,,,
1981.25,,,,,0.27,0.20,0.05,0.25,,,,
1981.33,,,,,0.27,0.20,0.08,0.25,,,,
1981.42,,,,,0.27,0.20,0.10,0.26,,,,
1981.50,,,,,0.27,0.20,0.12,0.27,,,,
1981.58,,,,,0.27,0.20,0.14,0.27,,,,
1981.67,,,,,0.27,0.20,0.17,0.28,,,,
1981.75,,,,,0.27,0.20,0.19,0.29,,,,
1981.83,,,,,0.27,0.20,0.21,0.29,,,,
1981.92,,,,,0.27,0.20,0.23,0.30,,,,
1982.00,,,,,0.22,0.19,0.25,0.30,,,,
1982.08,,,,,0.22,0.19,0.27,0.31,,,,
1982.17,,,,,0.22,0.19,0.29,0.31,,,,
1982.25,,,,,0.22,0.19,0.31,0.32,,,,
1982.33,,,,,0.22,0.19,0.32,0.32,,,,
1982.42,,,,,0.22,0.19,0.34,0.33,,,,
1982.50,,,,,0.22,0.19,0.36,0.33,,,,
1982.58,,,,,0.22,0.19,0.38,0.34,,,,
1982.67,,,,,0.22,0.19,0.40,0.34,,,,
1982.75,,,,,0.22,0.19,0.42,0.35,,,,
1982.83,,,,,0.22,0.19,0.43,0.35,,,,
1982.92,,,,,0.22,0.19,0.45,0.35,,,,
1983.00,,,,,-0.40,0.22,0.42,0.36,,,,
1983.08,,,,,-0.40,0.22,0.39,0.37,,,,
1983.17,,,,,-0.40,0.22,0.35,0.37,,,,
1983.25,,,,,-0.40,0.22,0.32,0.38,,,,
1983.33,,,,,-0.40,0.22,0.29,0.38,,,,
1983.42,,,,,-0.40,0.22,0.25,0.39,,,,
1983.50,,,,,-0.40,0.22,0.22,0.39,,,,
1983.58,,,,,-0.40,0.22,0.19,0.40,,,,
1983.67,,,,,-0.40,0.22,0.15,0.40,,,,
1983.75,,,,,-0.40,0.22,0.12,0.41,,,,
1983.83,,,,,-0.40,0.22,0.08,0.41,,,,
1983.92,,,,,-0.40,0.22,0.05,0.42,,,,
1984.00,,,,,-0.09,0.22,0.04,0.42,,,,
1984.08,,,,,-0.09,0.22,0.04,0.43,,,,
1984.17,,,,,-0.09,0.22,0.03,0.43,,,,
1984.25,,,,,-0.09,0.22,0.02,0.44,,,,
1984.33,,,,,-0.09,0.22,0.01,0.44,,,,
1984.42,,,,,-0.09,0.22,0.01,0.45,,,,
1984.50,,,,,-0.09,0.22,0.00,0.45,,,,
1984.58,,,,,-0.09,0.22,-0.01,0.45,,,,
1984.67,,,,,-0.09,0.22,-0.02,0.46,,,,
1984.75,,,,,-0.09,0.22,-0.02,0.46,,,,
1984.83,,,,,-0.09,0.22,-0.03,0.47,,,,
1984.92,,,,,-0.09,0.22,-0.04,0.47,,,,
1985.00,,,,,0.07,0.21,-0.03,0.48,,,,
1985.08,,,,,0.07,0.21,-0.03,0.48,,,,
1985.17,,,,,0.07,0.21,-0.02,0.48,,,,
1985.25,,,,,0.07,0.21,-0.01,0.49,,,,
1985.33,,,,,0.07,0.21,-0.01,0.49,,,,
1985.42,,,,,0.07,0.21,0.00,0.50,,,,
1985.50,,,,,0.07,0.21,0.00,0.50,,,,
1985.58,,,,,0.07,0.21,0.01,0.50,,,,
1985.67,,,,,0.07,0.21,0.01,0.51,,,,
1985.75,,,,,0.07,0.21,0.02,0.51,,,,
1985.83,,,,,0.07,0.21,0.03,0.51,,,,
1985.92,,,,,0.07,0.21,0.03,0.52,,,,
1986.00,,,,,-0.19,0.21,0.02,0.52,,,,
1986.08,,,,,-0.19,0.21,0.00,0.53,,,,
1986.17,,,,,-0.19,0.21,-0.01,0.53,,,,
1986.25,,,,,-0.19,0.21,-0.03,0.53,,,,
1986.33,,,,,-0.19,0.21,-0.05,0.54,,,,
1986.42,,,,,-0.19,0.21,-0.06,0.54,,,,
1986.50,,,,,-0.19,0.21,-0.08,0.54,,,,
1986.58,,,,,-0.19,0.21,-0.09,0.55,,,,
1986.67,,,,,-0.19,0.21,-0.11,0.55,,,,
1986.75,,,,,-0.19,0.21,-0.12,0.55,,,,
1986.83,,,,,-0.19,0.21,-0.14,0.56,,,,
1986.92,,,,,-0.19,0.21,-0.15,0.56,,,,
1987.00,,,,,-0.16,0.24,-0.17,0.56,,,,
1987.08,,,,,-0.16,0.24,-0.18,0.57,,,,
1987.17,,,,,-0.16,0.24,-0.19,0.57,,,,
1987.25,,,,,-0.16,0.24,-0.21,0.58,,,,
1987.33,,,,,-0.16,0.24,-0.22,0.58,,,,
1987.42,,,,,-0.16,0.24,-0.23,0.58,,,,
1987.50,,,,,-0.16,0.24,-0.25,0.59,,,,
1987.58,,,,,-0.16,0.24,-0.26,0.59,,,,
1987.67,,,,,-0.16,0.24,-0.27,0.60,,,,
1987.75,,,,,-0.16,0.24,-0.29,0.60,,,,
1987.83,,,,,-0.16,0.24,-0.30,0.60,,,,
1987.92,,,,,-0.16,0.24,-0.31,0.61,,,,
1988.00,,,,,0.07,0.22,-0.31,0.61,,,,
1988.08,,,,,0.07,0.22,-0.30,0.61,,,,
1988.17,,,,,0.07,0.22,-0.30,0.62,,,,
1988.25,,,,,0.07,0.22,-0.29,0.62,,,,
1988.33,,,,,0.07,0.22,-0.29,0.62,,,,
1988.42,,,,,0.07,0.22,-0.28,0.63,,,,
1988.50,,,,,0.07,0.22,-0.28,0.63,,,,
1988.58,,,,,0.07,0.22,-0.27,0.63,,,,
1988.67,,,,,0.07,0.22,-0.26,0.64,,,,
1988.75,,,,,0.07,0.22,-0.26,0.64,,,,
1988.83,,,,,0.07,0.22,-0.25,0.64,,,,
1988.92,,,,,0.07,0.22,-0.25,0.65,,,,
1989.00,,,,,0.25,0.20,-0.23,0.65,,,,
1989.08,,,,,0.25,0.20,-0.21,0.65,,,,
1989.17,,,,,0.25,0.20,-0.18,0.65,,,,
1989.25,,,,,0.25,0.20,-0.16,0.66,,,,
1989.33,,,,,0.25,0.20,-0.14,0.66,,,,
1989.42,,,,,0.25,0.20,-0.12,0.66,,,,
1989.50,,,,,0.25,0.20,-0.10,0.66,,,,
1989.58,,,,,0.25,0.20,-0.08,0.66,,,,
1989.67,,,,,0.25,0.20,-0.06,0.67,,,,
1989.75,,,,,0.25,0.20,-0.04,0.67,,,,
1989.83,,,,,0.25,0.20,-0.02,0.67,,,,
1989.92,,,,,0.25,0.20,0.01,0.67,,,,
1990.00,,,,,0.12,0.21,0.02,0.68,,,,
1990.08,,,,,0.12,0.21,0.03,0.68,,,,
1990.17,,,,,0.12,0.21,0.04,0.68,,,,
1990.25,,,,,0.12,0.21,0.05,0.69,,,,
1990.33,,,,,0.12,0.21,0.06,0.69,,,,
1990.42,,,,,0.12,0.21,0.07,0.69,,,,
1990.50,,,,,0.12,0.21,0.08,0.69,,,,
1990.58,,,,,0.12,0.21,0.09,0.70,,,,
1990.67,,,,,0.12,0.21,0.10,0.70,,,,
1990.75,,,,,0.12,0.21,0.11,0.70,,,,
1990.83,,,,,0.12,0.21,0.11,0.71,,,,
1990.92,,,,,0.12,0.21,0.12,0.71,,,,
1991.00,,,,,-0.05,0.23,0.12,0.71,,,,
1991.08,,,,,-0.05,0.23,0.12,0.71,,,,
1991.17,,,,,-0.05,0.23,0.11,0.72,,,,
