term,RCP2.6,RCP4.5,RCP8.5,Comments
Thermal expansion,0.14 (0.10–0.18),0.19 (0.14–0.23),0.27 (0.21–0.33),AR5
Glaciers,0.10 (0.04–0.16),0.12 (0.06–0.18),0.16 (0.09–0.23),AR5
Greenland SMB,0.03 (0.01-0.07),0.04 (0.02–0.09),0.07 (0.03–0.17),AR5
Greenland DYN,0.04 (0.01–0.06),0.04 (0.01–0.06),0.05 (0.02–0.07),AR5
LWS,0.04 (-0.01–0.09),0.04 (-0.01-0.09),0.04 (-0.01-0.09),AR5
Total AR5 - Antarctica AR5*; 2081-2100,0.35 (0.23–0.48),0.43 (0.30-0.57),0.60 (0.43–0.78),SROCC implicit in AR5
Total AR5 - Antarctica AR5; 2046-2065,0.22 (0.15-0.29),0.24 (0.17–0.31),0.28 (0.20–0.36),SROCC implicit in AR5
Antarctica 2031-2050,0.01 (0.00–0.03),0.01 (0.00–0.03),0.02 (0.00–0.05),SROCC
Antarctica 2046-2065,0.02 (0.00–0.05),0.02 (0.01-0.05),0.03 (0.00–0.08),SROCC
Antarctica 2081-2100,0.04 (0.01–0.10),0.05 (0.01–0.13),0.10 (0.02–0.23),SROCC
Antarctica 2100,0.04 (0.01–0.11),0.06 (0.01–0.15),0.12 (0.03–0.28),SROCC
GMSL 2031-2050,0.17 (0.12–0.22),0.18 (0.13-0.23),0.20 (0.15-0.26),SROCC
GMSL 2046-2065,0.24 (0.17–0.32),0.26 (0.19–0.34),0.32 (0.23–0.40),SROCC
GMSL 2081-2100,0.39 (0.26-0.53),0.49 (0.34-0.64),0.71 (0.51–0.92),SROCC
GMSL in 2100,0.43 (0.29–0.59),0.55 (0.39–0.72),0.84 (0.61–1.10),SROCC
Rate (mm yr').,4(2-6),7(4-9),15(10–20),SROCC
